TABLE NO.  1
 ID          TIME        DV          PRED        RES         WRES        CPRED       CWRES       EPRED       ERES        EWRES
  1.3000E+01  7.0000E+00  2.6856E-01  3.4728E-01 -7.8716E-02 -1.7485E-01  3.3722E-01 -2.5055E-01  4.2161E-01 -1.5305E-01 -1.4518E-01
  1.3000E+01  4.0000E+01  8.0499E-03  3.4156E-03  4.6343E-03  1.1355E+00  2.1040E-03  8.4082E-01  1.3770E-02 -5.7196E-03 -1.1746E-01
  1.4000E+01  0.0000E+00  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.9825E+01  0.0000E+00  2.1034E+01  0.0000E+00  0.0000E+00
  1.4000E+01  4.0000E-01  7.6831E+00  1.0917E+01 -3.2336E+00 -8.7631E-01  1.0869E+01 -1.0613E+00  1.0389E+01 -2.7061E+00 -7.3867E-01
  1.4000E+01  2.0000E+00  1.6428E+00  1.4763E+00  1.6654E-01  2.3675E-01  1.3534E+00  4.6373E-01  1.7181E+00 -7.5257E-02  6.4602E-02
  1.4000E+01  1.0000E+01  2.7735E-01  2.2799E-01  4.9365E-02  5.1382E-01  2.6989E-01  1.0166E-01  2.6321E-01  1.4144E-02  3.3018E-01
  1.4000E+01  4.0000E+01  2.2520E-04  3.4156E-03 -3.1904E-03 -4.6043E-01  1.0179E-03 -1.5897E+00  1.2864E-02 -1.2639E-02 -6.3927E-01
  1.4000E+01  7.0000E+01  3.0800E-07  5.1172E-05 -5.0864E-05  5.0822E-01  1.9545E-06  3.9950E-01  1.3544E-03 -1.3541E-03  3.0174E-01
  1.5000E+01  0.0000E+00  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.9858E+01  0.0000E+00  2.1365E+01  0.0000E+00  0.0000E+00
  1.5000E+01  1.0000E-01  1.4792E+01  1.7137E+01 -2.3450E+00 -8.1879E-02  1.7062E+01 -7.2809E-02  1.7559E+01 -2.7667E+00 -1.8449E-01
  1.5000E+01  4.0000E-01  4.4106E+00  1.0917E+01 -6.5061E+00 -1.8965E+00  1.0877E+01 -2.1538E+00  1.0358E+01 -5.9474E+00 -1.7690E+00
  1.5000E+01  7.0000E-01  7.0702E+00  7.0540E+00  1.6182E-02  5.4830E-01  7.0080E+00  6.8722E-01  6.5897E+00  4.8051E-01  8.4230E-01
  1.5000E+01  4.0000E+00  1.8392E-01  5.5993E-01 -3.7601E-01 -8.2937E-01  4.7192E-01 -1.6075E+00  7.0446E-01 -5.2054E-01 -1.1921E+00
  1.5000E+01  2.0000E+01  9.0022E-02  5.6203E-02  3.3819E-02  1.3035E+00  8.0658E-02  2.0664E+00  7.9588E-02  1.0434E-02  7.2683E-01
  1.6000E+01  0.0000E+00  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.9821E+01  0.0000E+00  2.1298E+01  0.0000E+00  0.0000E+00
  1.6000E+01  2.0000E-01  1.4839E+01  1.4726E+01  1.1253E-01  1.6829E-02  1.4831E+01 -1.0979E-02  1.4605E+01  2.3407E-01  1.7111E-02
  1.6000E+01  1.0000E+00  5.8031E+00  4.6510E+00  1.1521E+00  5.4828E-01  4.8040E+00  4.8024E-01  4.3673E+00  1.4358E+00  8.2016E-01
  1.6000E+01  4.0000E+00  4.4281E-01  5.5993E-01 -1.1712E-01 -2.5833E-01  5.0035E-01 -1.0584E-01  7.0410E-01 -2.6129E-01 -6.5604E-01
  1.6000E+01  7.0000E+00  1.7296E-01  3.4728E-01 -1.7432E-01 -1.0918E+00  3.2787E-01 -1.5749E+00  4.0658E-01 -2.3362E-01 -9.5875E-01
  1.6000E+01  4.0000E+01  5.8222E-03  3.4156E-03  2.4066E-03  1.8742E-01  3.2828E-03 -1.7389E-01  1.3263E-02 -7.4403E-03 -2.7325E-01
  1.7000E+01  0.0000E+00  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.8712E+01  0.0000E+00  2.2460E+01  0.0000E+00  0.0000E+00
  1.7000E+01  4.0000E-01  4.4993E+00  1.0917E+01 -6.4174E+00 -1.6628E+00  1.2621E+01 -2.1621E+00  1.0461E+01 -5.9613E+00 -1.4696E+00
  1.7000E+01  2.0000E+00  2.9418E-01  1.4763E+00 -1.1821E+00 -6.8294E-01  7.3985E-01 -4.6692E-01  1.6575E+00 -1.3634E+00 -7.9976E-01
  1.7000E+01  1.0000E+01  1.0797E-01  2.2799E-01 -1.2002E-01  4.4194E-01  1.7856E-01  1.2733E+00  2.6627E-01 -1.5830E-01  1.8643E-01
  1.7000E+01  4.0000E+01  2.3551E-03  3.4156E-03 -1.0605E-03  7.0142E-01  2.7554E-03  8.6339E-01  1.1694E-02 -9.3385E-03  1.2451E-01
  1.7000E+01  7.0000E+01  3.0100E-05  5.1172E-05 -2.1072E-05 -4.7530E-02  4.0895E-05 -1.1364E+00  1.1040E-03 -1.0739E-03  1.3397E-02
  1.8000E+01  0.0000E+00  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.9747E+01  0.0000E+00  2.0387E+01  0.0000E+00  0.0000E+00
  1.8000E+01  1.0000E-01  1.2815E+01  1.7137E+01 -4.3220E+00 -5.4118E-01  1.7070E+01 -7.6054E-01  1.6854E+01 -4.0394E+00 -5.5280E-01
  1.8000E+01  4.0000E-01  7.7004E+00  1.0917E+01 -3.2163E+00 -5.7381E-01  1.0835E+01 -7.2652E-01  1.0056E+01 -2.3555E+00 -3.6897E-01
  1.8000E+01  7.0000E-01  4.2734E+00  7.0540E+00 -2.7806E+00 -7.7571E-01  6.7866E+00 -8.8049E-01  6.4285E+00 -2.1551E+00 -5.8883E-01
  1.8000E+01  4.0000E+00  1.7412E-01  5.5993E-01 -3.8581E-01 -5.1858E-01  4.0020E-01 -8.2536E-01  6.9446E-01 -5.2034E-01 -6.5168E-01
  1.8000E+01  2.0000E+01  7.2944E-03  5.6203E-02 -4.8908E-02  1.1698E-02  2.2913E-02 -8.1668E-01  8.3175E-02 -7.5881E-02 -1.4782E-01
  1.9000E+01  0.0000E+00  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.8317E+01  0.0000E+00  2.1886E+01  0.0000E+00  0.0000E+00
  1.9000E+01  2.0000E-01  2.0097E+01  1.4726E+01  5.3705E+00  9.9758E-01  1.5084E+01  8.3011E-01  1.4647E+01  5.4502E+00  1.0273E+00
  1.9000E+01  1.0000E+00  2.9039E+00  4.6510E+00 -1.7471E+00 -7.6809E-01  4.8456E+00 -8.6968E-01  4.3532E+00 -1.4493E+00 -7.5319E-01
  1.9000E+01  4.0000E+00  4.9957E-01  5.5993E-01 -6.0360E-02  2.2510E-01  5.2608E-01  1.0873E-01  6.9677E-01 -1.9720E-01 -6.6489E-02
  1.9000E+01  7.0000E+00  3.4215E-01  3.4728E-01 -5.1255E-03  2.7908E-01  3.4179E-01  3.8626E-01  3.9816E-01 -5.6009E-02  1.9497E-01
  1.9000E+01  4.0000E+01  5.5797E-03  3.4156E-03  2.1641E-03  7.1159E-01  2.9980E-03  6.5523E-01  1.4045E-02 -8.4653E-03 -1.1328E-01
  2.0000E+01  0.0000E+00  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.9371E+01  0.0000E+00  2.1149E+01  0.0000E+00  0.0000E+00
  2.0000E+01  4.0000E-01  1.3191E+01  1.0917E+01  2.2743E+00  6.6317E-01  1.2186E+01  3.7841E-01  1.0316E+01  2.8754E+00  8.9371E-01
  2.0000E+01  2.0000E+00  4.4138E-01  1.4763E+00 -1.0349E+00 -8.6334E-01  1.1566E+00 -1.4633E+00  1.8066E+00 -1.3652E+00 -1.2725E+00
  2.0000E+01  1.0000E+01  5.8960E-02  2.2799E-01 -1.6903E-01 -7.1292E-01  1.5608E-01 -1.7292E+00  2.7583E-01 -2.1687E-01 -3.3080E-01
  2.0000E+01  4.0000E+01  2.6517E-03  3.4156E-03 -7.6390E-04  3.1408E-01  3.0613E-03  3.9780E-02  1.7556E-02 -1.4904E-02  1.3219E-01
  2.0000E+01  7.0000E+01  1.1092E-04  5.1172E-05  5.9748E-05  7.3710E-01  4.8419E-07  2.1527E-01  2.6460E-03 -2.5350E-03  9.8256E-03
  2.1000E+01  0.0000E+00  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.9683E+01  0.0000E+00  2.1993E+01  0.0000E+00  0.0000E+00
  2.1000E+01  1.0000E-01  1.2927E+01  1.7137E+01 -4.2100E+00 -7.8434E-01  1.7312E+01 -9.7699E-01  1.8067E+01 -5.1404E+00 -8.6557E-01
  2.1000E+01  4.0000E-01  1.4954E+01  1.0917E+01  4.0373E+00  1.2463E+00  1.1746E+01  1.1606E+00  1.0653E+01  4.3013E+00  1.3066E+00
  2.1000E+01  7.0000E-01  8.8688E+00  7.0540E+00  1.8148E+00  1.5777E-01  7.9390E+00  1.8181E-01  6.7669E+00  2.1019E+00  3.1627E-01
  2.1000E+01  4.0000E+00  1.8609E+00  5.5993E-01  1.3010E+00  2.6057E+00  1.7857E-01  1.4989E+00  7.3847E-01  1.1224E+00  1.7339E+00
  2.1000E+01  2.0000E+01  2.0076E-01  5.6203E-02  1.4456E-01  1.1543E+00 -4.8194E-02  8.1543E-02  8.6618E-02  1.1414E-01 -1.6341E-01
  2.2000E+01  0.0000E+00  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.9961E+01  0.0000E+00  2.1075E+01  0.0000E+00  0.0000E+00
  2.2000E+01  2.0000E-01  1.8826E+01  1.4726E+01  4.0995E+00  7.4039E-01  1.4968E+01  5.9467E-01  1.4292E+01  4.5338E+00  8.6078E-01
  2.2000E+01  1.0000E+00  7.9579E+00  4.6510E+00  3.3069E+00  1.2949E+00  4.5697E+00  1.0543E+00  4.2828E+00  3.6751E+00  1.7180E+00
  2.2000E+01  4.0000E+00  1.0080E+00  5.5993E-01  4.4807E-01  8.7021E-01  3.6026E-01  9.0108E-01  7.2745E-01  2.8055E-01  4.4515E-02
  2.2000E+01  7.0000E+00  3.8325E-01  3.4728E-01  3.5974E-02 -1.4458E+00  3.4292E-01 -1.0776E+00  4.0848E-01 -2.5230E-02 -1.1596E+00
  2.2000E+01  4.0000E+01  2.1650E-02  3.4156E-03  1.8234E-02  2.1735E+00 -8.7481E-03  1.2066E-01  1.1209E-02  1.0441E-02 -3.8614E-02
  2.3000E+01  0.0000E+00  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.8664E+01  0.0000E+00  2.2459E+01  0.0000E+00  0.0000E+00
  2.3000E+01  4.0000E-01  1.3842E+01  1.0917E+01  2.9253E+00  8.3244E-01  1.1864E+01  5.3381E-01  1.0477E+01  3.3649E+00  9.5604E-01
  2.3000E+01  2.0000E+00  5.3214E-01  1.4763E+00 -9.4412E-01 -8.1906E-01  1.2390E+00 -1.1633E+00  1.6416E+00 -1.1095E+00 -1.1383E+00
  2.3000E+01  1.0000E+01  6.7601E-02  2.2799E-01 -1.6038E-01 -7.9396E-01  1.8901E-01 -1.9225E+00  2.5285E-01 -1.8525E-01 -5.6683E-01
  2.3000E+01  4.0000E+01  1.6774E-02  3.4156E-03  1.3358E-02  1.5535E+00  1.1531E-02  1.2184E+00  1.4309E-02  2.4649E-03  8.2121E-01
  2.3000E+01  7.0000E+01  3.0482E-03  5.1172E-05  2.9970E-03  3.3038E+01 -2.5738E-03  6.0721E-01  1.6903E-03  1.3579E-03  4.0654E-01
  2.4000E+01  0.0000E+00  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.9034E+01  0.0000E+00  2.1466E+01  0.0000E+00  0.0000E+00
  2.4000E+01  1.0000E-01  1.1843E+01  1.7137E+01 -5.2940E+00 -6.0646E-01  1.6836E+01 -8.1468E-01  1.7491E+01 -5.6484E+00 -6.5215E-01
  2.4000E+01  4.0000E-01  6.9809E+00  1.0917E+01 -3.9358E+00 -1.2940E+00  1.1618E+01 -1.4035E+00  1.0181E+01 -3.2006E+00 -1.2345E+00
  2.4000E+01  7.0000E-01  1.0781E+01  7.0540E+00  3.7270E+00  1.5950E+00  7.9831E+00  1.6445E+00  6.4366E+00  4.3444E+00  1.9888E+00
  2.4000E+01  4.0000E+00  1.3893E+00  5.5993E-01  8.2937E-01  1.4236E+00  2.8317E-01  7.8663E-01  6.8797E-01  7.0133E-01  8.1209E-01
  2.4000E+01  2.0000E+01  1.1429E-01  5.6203E-02  5.8087E-02 -8.4354E-02  2.5862E-02 -3.9634E-01  8.2192E-02  3.2098E-02 -6.8494E-01
  2.5000E+01  0.0000E+00  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.9853E+01  0.0000E+00  2.1625E+01  0.0000E+00  0.0000E+00
  2.5000E+01  2.0000E-01  1.5569E+01  1.4726E+01  8.4253E-01  1.3475E-01  1.5327E+01  4.3851E-02  1.4887E+01  6.8239E-01  9.6369E-02
  2.5000E+01  1.0000E+00  7.1431E+00  4.6510E+00  2.4921E+00  5.2478E-01  5.4816E+00  3.8739E-01  4.6402E+00  2.5029E+00  7.2641E-01
  2.5000E+01  4.0000E+00  2.2075E+00  5.5993E-01  1.6476E+00  2.7585E+00  1.1812E-01  1.5044E+00  7.6785E-01  1.4396E+00  1.5305E+00
  2.5000E+01  7.0000E+00  1.4851E+00  3.4728E-01  1.1378E+00  3.3566E+00 -1.0717E-01  1.4741E+00  4.3656E-01  1.0485E+00  2.2619E+00
  2.5000E+01  4.0000E+01  2.0572E-02  3.4156E-03  1.7156E-02  1.7686E+00 -2.3637E-02 -1.4576E-01  1.5102E-02  5.4697E-03 -1.2694E+00
