TABLE NO.  1
 ID          TIME        PRED        RES         WRES        CPRED       CWRES       EPRED       ERES        EWRES
  1.8000E+01  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.9746E+01  0.0000E+00  2.0387E+01  0.0000E+00  0.0000E+00
  1.8000E+01  1.0000E-01  1.7136E+01 -4.3215E+00 -5.4114E-01  1.7069E+01 -7.6047E-01  1.6854E+01 -4.0389E+00 -5.5275E-01
  1.8000E+01  4.0000E-01  1.0916E+01 -3.2157E+00 -5.7368E-01  1.0835E+01 -7.2636E-01  1.0055E+01 -2.3550E+00 -3.6885E-01
  1.8000E+01  7.0000E-01  7.0535E+00 -2.7801E+00 -7.7552E-01  6.7861E+00 -8.8028E-01  6.4281E+00 -2.1547E+00 -5.8869E-01
  1.8000E+01  4.0000E+00  5.5991E-01 -3.8579E-01 -5.1865E-01  4.0021E-01 -8.2555E-01  6.9443E-01 -5.2031E-01 -6.5169E-01
  1.8000E+01  2.0000E+01  5.6203E-02 -4.8909E-02  1.1539E-02  2.2914E-02 -8.1697E-01  8.3175E-02 -7.5881E-02 -1.4791E-01
  1.9000E+01  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.8317E+01  0.0000E+00  2.1885E+01  0.0000E+00  0.0000E+00
  1.9000E+01  2.0000E-01  1.4726E+01  5.3711E+00  9.9774E-01  1.5083E+01  8.3029E-01  1.4646E+01  5.4507E+00  1.0274E+00
  1.9000E+01  1.0000E+00  4.6506E+00 -1.7467E+00 -7.6798E-01  4.8451E+00 -8.6955E-01  4.3528E+00 -1.4489E+00 -7.5315E-01
  1.9000E+01  4.0000E+00  5.5991E-01 -6.0344E-02  2.2501E-01  5.2608E-01  1.0869E-01  6.9674E-01 -1.9717E-01 -6.6497E-02
  1.9000E+01  7.0000E+00  3.4727E-01 -5.1241E-03  2.7902E-01  3.4179E-01  3.8616E-01  3.9815E-01 -5.6003E-02  1.9494E-01
  1.9000E+01  4.0000E+01  3.4157E-03  2.1640E-03  7.1145E-01  2.9983E-03  6.5508E-01  1.4045E-02 -8.4652E-03 -1.1329E-01
  2.0000E+01  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.9371E+01  0.0000E+00  2.1149E+01  0.0000E+00  0.0000E+00
  2.0000E+01  4.0000E-01  1.0916E+01  2.2749E+00  6.6336E-01  1.2186E+01  3.7859E-01  1.0315E+01  2.8759E+00  8.9388E-01
  2.0000E+01  2.0000E+00  1.4761E+00 -1.0347E+00 -8.6339E-01  1.1565E+00 -1.4634E+00  1.8065E+00 -1.3651E+00 -1.2725E+00
  2.0000E+01  1.0000E+01  2.2799E-01 -1.6903E-01 -7.1297E-01  1.5609E-01 -1.7292E+00  2.7583E-01 -2.1687E-01 -3.3083E-01
  2.0000E+01  4.0000E+01  3.4157E-03 -7.6398E-04  3.1397E-01  3.0613E-03  3.9589E-02  1.7556E-02 -1.4904E-02  1.3216E-01
  2.0000E+01  7.0000E+01  5.1174E-05  5.9746E-05  7.3703E-01  4.8609E-07  2.1524E-01  2.6459E-03 -2.5350E-03  9.8343E-03
  2.1000E+01  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.9683E+01  0.0000E+00  2.1993E+01  0.0000E+00  0.0000E+00
  2.1000E+01  1.0000E-01  1.7136E+01 -4.2095E+00 -7.8434E-01  1.7311E+01 -9.7699E-01  1.8067E+01 -5.1399E+00 -8.6557E-01
  2.1000E+01  4.0000E-01  1.0916E+01  4.0379E+00  1.2464E+00  1.1746E+01  1.1607E+00  1.0652E+01  4.3018E+00  1.3067E+00
  2.1000E+01  7.0000E-01  7.0535E+00  1.8153E+00  1.5792E-01  7.9383E+00  1.8197E-01  6.7665E+00  2.1023E+00  3.1638E-01
  2.1000E+01  4.0000E+00  5.5991E-01  1.3010E+00  2.6057E+00  1.7857E-01  1.4989E+00  7.3843E-01  1.1225E+00  1.7340E+00
  2.1000E+01  2.0000E+01  5.6203E-02  1.4456E-01  1.1542E+00 -4.8189E-02  8.1484E-02  8.6617E-02  1.1414E-01 -1.6351E-01
  2.2000E+01  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.9961E+01  0.0000E+00  2.1075E+01  0.0000E+00  0.0000E+00
  2.2000E+01  2.0000E-01  1.4726E+01  4.1001E+00  7.4048E-01  1.4967E+01  5.9474E-01  1.4292E+01  4.5344E+00  8.6088E-01
  2.2000E+01  1.0000E+00  4.6506E+00  3.3073E+00  1.2951E+00  4.5692E+00  1.0544E+00  4.2825E+00  3.6754E+00  1.7182E+00
  2.2000E+01  4.0000E+00  5.5991E-01  4.4809E-01  8.7026E-01  3.6026E-01  9.0107E-01  7.2742E-01  2.8058E-01  4.4528E-02
