TABLE NO.  4: MCMC Bayesian Analysis (No Prior): Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION
 ITERATION    THETA1       THETA2       THETA3       THETA4       SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
        -9946  1.59295E+00  1.58099E+00  7.40453E-01  2.28629E+00  6.17661E-02  1.61217E-01 -2.63202E-02  1.21927E-01  2.54472E-02  6.42312E-04  1.62856E-01 -1.30603E-02  4.84494E-02  3.97074E-02  1.91057E-01   -2353.3947723183010
        -9945  1.56600E+00  1.57080E+00  7.50156E-01  2.38349E+00  6.21429E-02  1.57097E-01 -3.62524E-03  1.16823E-01  8.23649E-03  2.62468E-02  1.66156E-01 -1.47573E-02  3.19072E-02  6.46473E-03  1.74893E-01   -2365.1806175237407
        -9944  1.60431E+00  1.53402E+00  7.17633E-01  2.31829E+00  5.15101E-02  1.89317E-01 -1.29917E-02  1.24629E-01  2.94868E-02  4.29423E-02  1.88064E-01  5.18954E-03  2.27098E-02 -3.62211E-04  1.61301E-01   -2321.8587405845669
        -9943  1.56083E+00  1.53437E+00  6.86548E-01  2.33189E+00  6.07374E-02  1.85425E-01 -2.06471E-02  1.49479E-01 -4.42795E-02  4.84840E-02  1.85235E-01 -1.54198E-02  2.53506E-02 -5.03649E-03  1.52347E-01   -2336.1482951534563
        -9942  1.63966E+00  1.58477E+00  6.82457E-01  2.32071E+00  5.62976E-02  1.59126E-01  4.94095E-03  1.22228E-01  9.85243E-03  2.47329E-02  2.55349E-01 -3.73719E-02  1.11719E-02  3.75790E-02  1.80736E-01   -2317.1927642219075
        -9941  1.61091E+00  1.57872E+00  6.29990E-01  2.30432E+00  6.78051E-02  2.12725E-01  1.78913E-04  1.46340E-01 -4.05102E-02  3.98344E-04  2.24134E-01 -5.52052E-02  2.75219E-02  3.14360E-02  1.90365E-01   -2307.4840478038050
        -9940  1.63235E+00  1.54660E+00  6.51055E-01  2.31427E+00  5.81904E-02  1.55667E-01  9.99895E-03  1.33028E-01 -2.10941E-02  1.15546E-02  2.08941E-01 -3.54509E-02  3.23855E-02  2.24138E-02  1.45708E-01   -2312.9198574316601
        -9939  1.64861E+00  1.53319E+00  7.60389E-01  2.27192E+00  6.89817E-02  1.63306E-01 -1.91190E-02  1.13271E-01 -1.96398E-02  7.94447E-03  1.61846E-01 -5.28147E-02  5.74320E-02  4.45566E-02  1.97909E-01   -2311.7613425580616
        -9938  1.61513E+00  1.63321E+00  8.37784E-01  2.37699E+00  5.50673E-02  1.44150E-01  9.40371E-03  1.12927E-01 -2.73264E-02 -2.18165E-02  2.24482E-01 -4.69711E-02  6.47754E-03  6.42074E-02  1.68235E-01   -2289.1208568583747
        -9937  1.55674E+00  1.58845E+00  7.80530E-01  2.36318E+00  5.79152E-02  1.41743E-01  2.39735E-02  1.37009E-01 -1.23521E-03 -1.60907E-02  2.35847E-01 -1.24576E-02 -2.94840E-03  5.50069E-02  1.39395E-01   -2299.3986159768315
        -9936  1.54425E+00  1.52839E+00  7.15816E-01  2.32940E+00  6.51035E-02  1.42276E-01  4.70761E-03  1.35966E-01 -3.09214E-02 -5.52661E-03  2.52123E-01 -4.60859E-02  3.37814E-03  6.20470E-02  1.47286E-01   -2311.0274869469404
        -9935  1.60321E+00  1.56757E+00  6.42095E-01  2.32067E+00  6.19315E-02  1.53027E-01 -2.99591E-02  1.17826E-01 -3.75448E-02 -1.33933E-02  1.58430E-01 -2.91478E-02  3.21982E-03  1.96100E-02  1.78894E-01   -2336.7910133907531
        -9934  1.65626E+00  1.56029E+00  6.79893E-01  2.26449E+00  6.40701E-02  1.80468E-01 -1.16318E-02  1.20048E-01 -1.71880E-02 -1.03924E-02  1.83962E-01 -3.10715E-02  1.08011E-02  3.62596E-02  1.37601E-01   -2312.9112968417398
        -9933  1.63609E+00  1.50254E+00  7.29511E-01  2.27307E+00  6.55669E-02  1.45948E-01 -1.81690E-02  1.31406E-01 -1.32803E-02 -8.71746E-03  1.20662E-01 -1.34418E-02  1.65466E-02  1.60752E-02  1.49873E-01   -2293.7164469029640
        -9932  1.57870E+00  1.48686E+00  6.60127E-01  2.33670E+00  6.05034E-02  1.31160E-01 -1.93995E-02  1.63630E-01 -3.22691E-02  5.19121E-03  2.15606E-01 -3.73962E-02  4.19667E-02  1.43595E-02  1.60223E-01   -2333.1975672729559
        -9931  1.59247E+00  1.50723E+00  7.33233E-01  2.27509E+00  6.71019E-02  1.60325E-01 -2.51643E-02  1.08098E-01  4.95026E-03 -7.27094E-03  1.34878E-01 -3.91051E-02  2.45963E-02  2.91491E-02  1.54157E-01   -2333.5479195743601
        -9930  1.56560E+00  1.51870E+00  7.00023E-01  2.30398E+00  6.13062E-02  1.14598E-01 -1.95777E-04  1.47767E-01 -1.00153E-02  1.43275E-02  1.73813E-01 -1.95475E-02  3.96082E-02  4.22291E-02  1.48468E-01   -2356.6620897938119
        -9929  1.63369E+00  1.51813E+00  7.07553E-01  2.26463E+00  5.94393E-02  1.32780E-01 -2.10195E-02  1.16613E-01 -5.80237E-04  5.96932E-03  1.54007E-01 -1.69550E-02  3.77181E-02  1.29141E-02  1.42269E-01   -2323.7054055080857
        -9928  1.56897E+00  1.54691E+00  6.52122E-01  2.35956E+00  6.22109E-02  1.59914E-01 -3.13638E-02  1.47144E-01 -1.20772E-02  5.17570E-03  1.77514E-01 -6.08203E-02  2.95061E-02  5.58847E-02  1.89140E-01   -2322.6895033659812
        -9927  1.55114E+00  1.51805E+00  7.09786E-01  2.36402E+00  6.42411E-02  1.33481E-01 -1.18397E-02  1.35186E-01 -2.31091E-02 -6.65626E-04  1.56107E-01 -3.40226E-02  5.22827E-03  2.83349E-02  1.07955E-01   -2333.0223511063768
        -9926  1.70688E+00  1.59312E+00  7.29033E-01  2.29947E+00  6.07989E-02  1.33298E-01 -3.41289E-02  1.82498E-01 -2.01577E-02  4.71869E-04  1.39492E-01 -4.16462E-02  7.42716E-03  2.84243E-02  1.58004E-01   -2329.9407085428129
        -9925  1.63801E+00  1.63497E+00  6.83479E-01  2.28733E+00  6.02443E-02  1.45560E-01 -8.13994E-03  1.34375E-01 -2.61200E-02 -1.71774E-02  1.23102E-01 -4.76450E-02  2.25216E-02  1.20732E-02  1.35950E-01   -2348.2165827140434
        -9924  1.58013E+00  1.50471E+00  7.58131E-01  2.32626E+00  5.75071E-02  1.62893E-01 -1.07161E-02  1.47738E-01 -4.05706E-02 -3.89543E-02  1.87211E-01 -5.70486E-02 -3.04454E-03  5.30739E-04  1.60729E-01   -2374.9594666061748
        -9923  1.63521E+00  1.45398E+00  7.06866E-01  2.38113E+00  5.45400E-02  1.66377E-01 -1.20561E-02  1.66869E-01 -3.94718E-02 -1.92144E-02  1.50487E-01 -4.71105E-02  2.31327E-02  3.14949E-02  1.32120E-01   -2370.2968340489861
        -9922  1.60740E+00  1.47147E+00  7.32081E-01  2.29404E+00  5.77983E-02  1.78573E-01  2.58642E-02  1.58417E-01 -7.97513E-02 -2.71371E-02  1.79614E-01 -4.12763E-02 -3.32227E-03  3.29498E-02  1.47132E-01   -2356.9737369816075
        -9921  1.59992E+00  1.46318E+00  7.29926E-01  2.30067E+00  6.15268E-02  1.78626E-01 -4.65215E-02  1.65643E-01 -1.01179E-02 -1.33442E-02  1.33139E-01 -6.41089E-02  1.80159E-03  6.52056E-03  1.62716E-01   -2365.3879493880895
        -9920  1.66257E+00  1.46408E+00  7.43697E-01  2.38876E+00  6.21449E-02  1.73115E-01 -6.39783E-02  2.26569E-01 -3.68378E-02  1.70398E-02  1.44751E-01 -7.13971E-02 -6.94639E-03  2.63150E-02  1.62802E-01   -2372.1483777242943
        -9919  1.63178E+00  1.55349E+00  6.98573E-01  2.35370E+00  5.63479E-02  1.30567E-01  4.25219E-03  1.59834E-01 -3.13889E-02  1.77809E-02  1.10616E-01 -3.21730E-02 -9.23231E-03  1.10192E-02  1.21028E-01   -2389.2578864566199
        -9918  1.70655E+00  1.54765E+00  6.93128E-01  2.35176E+00  5.69932E-02  1.34892E-01 -1.48914E-02  1.50300E-01 -1.21421E-02 -3.84397E-02  1.94662E-01 -5.14540E-02  1.90821E-03  3.19688E-02  1.54029E-01   -2418.9134954245455
        -9917  1.66426E+00  1.51842E+00  7.48329E-01  2.28972E+00  5.21234E-02  1.45870E-01 -2.16852E-03  1.31923E-01 -4.11258E-02 -1.38183E-02  1.31152E-01 -4.57167E-02 -6.20035E-03  2.96953E-02  9.93012E-02   -2415.7682621260956
        -9916  1.55758E+00  1.59326E+00  7.85878E-01  2.30853E+00  5.33427E-02  1.51287E-01  2.20001E-02  1.54532E-01 -4.83902E-02 -1.67000E-02  1.54737E-01 -3.40157E-02 -8.77792E-03  2.35287E-02  1.28628E-01   -2404.9401695749657
        -9915  1.59632E+00  1.53194E+00  8.13463E-01  2.29291E+00  5.38390E-02  1.65291E-01 -9.17461E-03  1.47505E-01 -7.21546E-02  7.96869E-03  1.53355E-01 -7.37330E-02  3.11674E-02  2.85040E-02  1.42852E-01   -2409.3734441761198
        -9914  1.59723E+00  1.59904E+00  7.61123E-01  2.32806E+00  5.61588E-02  1.42751E-01  2.13528E-02  1.65659E-01 -4.51633E-02 -2.65760E-02  1.77585E-01 -3.34374E-02 -1.23633E-02  5.99791E-03  9.92122E-02   -2403.3476165793077
        -9913  1.63054E+00  1.57960E+00  7.28265E-01  2.34417E+00  5.19500E-02  1.12646E-01  2.41021E-02  1.44011E-01 -1.42893E-02 -1.50026E-02  1.37960E-01 -5.45588E-02  2.16431E-02 -1.56955E-02  1.38305E-01   -2401.6270412540375
        -9912  1.65730E+00  1.53475E+00  7.23211E-01  2.27469E+00  5.51115E-02  1.72311E-01  1.22440E-02  1.82065E-01 -1.82748E-02 -6.35732E-02  1.91997E-01 -5.21750E-02  1.65747E-02 -2.09614E-02  1.11803E-01   -2405.6313440707145
        -9911  1.63459E+00  1.53105E+00  7.97776E-01  2.31207E+00  5.35600E-02  1.90305E-01 -1.57112E-02  1.77123E-01 -4.63346E-02 -5.09034E-02  1.70544E-01 -8.10699E-02  2.23347E-02  1.04300E-02  1.50409E-01   -2378.7687461638279
        -9910  1.63891E+00  1.44634E+00  7.16634E-01  2.37452E+00  5.95376E-02  1.63483E-01 -2.72689E-02  1.59123E-01 -4.01545E-02 -3.79374E-02  1.29008E-01 -4.27884E-02  1.78422E-02 -7.03673E-04  1.56021E-01   -2420.2563329172253
